year,district,office,candidate,party,votes,percentage
2018,26,Attorney General,Paxton,REP,34669,57.3
2018,27,U.S. Senate,Cruz,REP,16666,25.9
2018,27,U.S. Senate,O'Rourke,DEM,47268,73.5
2018,27,U.S. Senate,Dikeman,LIB,335,0.5
2018,27,Governor,Abbott,REP,20503,32.0
2018,27,Governor,Valdez,DEM,42624,66.5
2018,27,Governor,Tippetts,LIB,938,1.5
2018,27,Lieutenant Governor,Patrick,REP,17605,27.5
2018,27,Lieutenant Governor,Collier,DEM,45359,70.9
2018,27,Lieutenant Governor,McKennon,LIB,986,1.5
2018,27,Attorney General,Paxton,REP,16592,26.0
2018,28,U.S. Senate,Cruz,REP,33522,56.1
2018,28,U.S. Senate,O'Rourke,DEM,25830,43.2
2018,28,U.S. Senate,Dikeman,LIB,387,0.6
2018,28,Governor,Abbott,REP,36712,61.6
2018,28,Governor,Valdez,DEM,22092,37.1
2018,28,Governor,Tippetts,LIB,799,1.3
2018,28,Lieutenant Governor,Patrick,REP,34025,57.3
2018,28,Lieutenant Governor,Collier,DEM,24365,41.0
2018,28,Lieutenant Governor,McKennon,LIB,972,1.6
2018,28,Attorney General,Paxton,REP,33248,56.1
2018,29,U.S. Senate,Cruz,REP,34069,57.9
2018,29,U.S. Senate,O'Rourke,DEM,24331,41.4
2018,29,U.S. Senate,Dikeman,LIB,431,0.7
2018,29,Governor,Abbott,REP,36709,62.5
2018,29,Governor,Valdez,DEM,21132,36.0
2018,29,Governor,Tippetts,LIB,860,1.5
2018,29,Lieutenant Governor,Patrick,REP,34274,58.5
2018,29,Lieutenant Governor,Collier,DEM,23167,39.5
2018,29,Lieutenant Governor,McKennon,LIB,1155,2.0
2018,29,Attorney General,Paxton,REP,33550,57.4
2018,30,U.S. Senate,Cruz,REP,44230,74.5
2018,30,U.S. Senate,O'Rourke,DEM,14784,24.9
2018,30,U.S. Senate,Dikeman,LIB,340,0.6
2018,30,Governor,Abbott,REP,45681,77.0
2018,30,Governor,Valdez,DEM,13016,22.0
2018,30,Governor,Tippetts,LIB,591,1.0
2018,30,Lieutenant Governor,Patrick,REP,42995,73.0
2018,30,Lieutenant Governor,Collier,DEM,14961,25.4
2018,30,Lieutenant Governor,McKennon,LIB,959,1.6
2018,30,Attorney General,Paxton,REP,42714,72.7
2018,31,U.S. Senate,Cruz,REP,25654,53.3
2018,31,U.S. Senate,O'Rourke,DEM,22142,46.0
2018,31,U.S. Senate,Dikeman,LIB,297,0.6
2018,31,Governor,Abbott,REP,27792,58.8
2018,31,Governor,Valdez,DEM,18999,40.2
2018,31,Governor,Tippetts,LIB,437,0.9
