year,district,office,candidate,party,votes,percentage
2018,11,Attorney General,Paxton,R,115573,40.7
2018,12,U.S. Senate,Cruz,R,143042,41.3
2018,12,U.S. Senate,O'Rourke,D,9130,2.6
2018,12,U.S. Senate,Dikeman,L,206829,60.4
2018,12,Governor,Abbott,R,124399,36.3
2018,12,Governor,Valdez,D,11368,3.3
2018,12,Governor,Tippetts,L,213168,61.8
2018,12,Lieutenant Governor,Patrick,R,121629,35.3
2018,12,Lieutenant Governor,Collier,D,10078,2.9
2018,12,Lieutenant Governor,McKennon,L,198162,57.8
2018,12,Attorney General,Paxton,R,136485,39.8
2018,13,U.S. Senate,Cruz,R,174528,80.6
2018,13,U.S. Senate,O'Rourke,D,3552,1.6
2018,13,U.S. Senate,Dikeman,L,41523,19.2
2018,13,Governor,Abbott,R,168752,78.2
2018,13,Governor,Valdez,D,5560,2.6
2018,13,Governor,Tippetts,L,42723,19.8
2018,13,Lieutenant Governor,Patrick,R,169427,78.5
2018,13,Lieutenant Governor,Collier,D,3714,1.7
2018,13,Lieutenant Governor,McKennon,L,37962,17.6
2018,13,Attorney General,Paxton,R,174934,81.1
2018,14,U.S. Senate,Cruz,R,275449,74.5
2018,14,U.S. Senate,O'Rourke,D,11869,3.2
2018,14,U.S. Senate,Dikeman,L,95834,26.2
2018,14,Governor,Abbott,R,254957,69.7
2018,14,Governor,Valdez,D,15201,4.2
2018,14,Governor,Tippetts,L,98484,26.8
2018,14,Lieutenant Governor,Patrick,R,254959,69.5
2018,14,Lieutenant Governor,Collier,D,13591,3.7
2018,14,Lieutenant Governor,McKennon,L,85217,23.3
2018,14,Attorney General,Paxton,R,269526,73.6
2018,15,U.S. Senate,Cruz,R,174718,65.6
2018,15,U.S. Senate,O'Rourke,D,5658,2.1
2018,15,U.S. Senate,Dikeman,L,99010,37.4
2018,15,Governor,Abbott,R,157794,59.6
2018,15,Governor,Valdez,D,8004,3.0
2018,15,Governor,Tippetts,L,97082,36.6
2018,15,Lieutenant Governor,Patrick,R,162079,61.1
2018,15,Lieutenant Governor,Collier,D,6114,2.3
2018,15,Lieutenant Governor,McKennon,L,87995,33.3
2018,15,Attorney General,Paxton,R,171841,64.9
2018,16,U.S. Senate,Cruz,R,145660,63.5
2018,16,U.S. Senate,O'Rourke,D,5850,2.6
2018,16,U.S. Senate,Dikeman,L,84105,37.1
2018,16,Governor,Abbott,R,133793,59.0
2018,16,Governor,Valdez,D,8918,3.9
2018,16,Governor,Tippetts,L,89109,39.0
2018,16,Lieutenant Governor,Patrick,R,133109,58.3
2018,16,Lieutenant Governor,Collier,D,6153,2.7
2018,16,Lieutenant Governor,McKennon,L,79149,34.8
2018,16,Attorney General,Paxton,R,142210,62.6
2018,17,U.S. Senate,Cruz,R,115359,39.7
2018,17,U.S. Senate,O'Rourke,D,6136,2.1
2018,17,U.S. Senate,Dikeman,L,181766,62.7
2018,17,Governor,Abbott,R,100547,34.7
2018,17,Governor,Valdez,D,7405,2.6
2018,17,Governor,Tippetts,L,178764,61.6
2018,17,Lieutenant Governor,Patrick,R,103708,35.7
2018,17,Lieutenant Governor,Collier,D,7787,2.7
2018,17,Lieutenant Governor,McKennon,L,171197,59.2
2018,17,Attorney General,Paxton,R,112910,39.0
2018,18,U.S. Senate,Cruz,R,109980,39.7
2018,18,U.S. Senate,O'Rourke,D,5180,1.9
2018,18,U.S. Senate,Dikeman,L,168716,61.2
2018,18,Governor,Abbott,R,100478,36.4
2018,18,Governor,Valdez,D,6648,2.4
2018,18,Governor,Tippetts,L,167182,60.5
2018,18,Lieutenant Governor,Patrick,R,101762,36.8
2018,18,Lieutenant Governor,Collier,D,7481,2.7
2018,18,Lieutenant Governor,McKennon,L,162064,58.8
2018,18,Attorney General,Paxton,R,108913,39.5
2018,19,U.S. Senate,Cruz,R,120033,57.5
2018,19,U.S. Senate,O'Rourke,D,5804,2.8
2018,19,U.S. Senate,Dikeman,L,84775,40.9
2018,19,Governor,Abbott,R,113196,54.7
2018,19,Governor,Valdez,D,9128,4.4
2018,19,Governor,Tippetts,L,89255,42.9
2018,19,Lieutenant Governor,Patrick,R,110884,53.3
2018,19,Lieutenant Governor,Collier,D,8089,3.9
2018,19,Lieutenant Governor,McKennon,L,82304,39.7
2018,19,Attorney General,Paxton,R,119055,57.4
2018,20,U.S. Senate,Cruz,R,113774,60.6
2018,20,U.S. Senate,O'Rourke,D,4388,2.3
2018,20,U.S. Senate,Dikeman,L,71322,38.3
2018,20,Governor,Abbott,R,107098,57.5
2018,20,Governor,Valdez,D,7937,4.3
2018,20,Governor,Tippetts,L,77271,41.1
2018,20,Lieutenant Governor,Patrick,R,105509,56.2
