year,district,office,candidate,party,votes,percentage
2018,131,Governor,Abbott,REP,7293,18.5
2018,131,Governor,Tippetts,LIB,424,1.1
2018,131,Lieutenant Governor,Collier,DEM,32813,83.3
2018,131,Lieutenant Governor,Patrick,REP,6129,15.6
2018,131,Lieutenant Governor,McKennon,LIB,450,1.1
2018,131,U.S. Senate,O'Rourke,DEM,33440,85.2
2018,131,U.S. Senate,Cruz,REP,5628,14.3
2018,131,U.S. Senate,Dikeman,LIB,199,0.5
2018,132,Attorney General,Paxton,REP,32033,57.3
2018,132,Governor,Abbott,REP,34909,62.3
2018,132,Governor,Valdez,DEM,20325,36.2
2018,132,Governor,Tippetts,LIB,838,1.5
2018,132,Lieutenant Governor,Patrick,REP,32472,58.0
2018,132,Lieutenant Governor,Collier,DEM,22462,40.1
2018,132,Lieutenant Governor,McKennon,LIB,1054,1.9
2018,132,U.S. Senate,Cruz,REP,32220,57.5
2018,132,U.S. Senate,O'Rourke,DEM,23431,41.8
2018,132,U.S. Senate,Dikeman,LIB,414,0.7
2018,133,Attorney General,Paxton,REP,34377,52.6
2018,133,Governor,Abbott,REP,39548,60.3
2018,133,Governor,Valdez,DEM,24855,37.9
2018,133,Governor,Tippetts,LIB,1181,1.8
2018,133,Lieutenant Governor,Patrick,REP,35093,53.6
2018,133,Lieutenant Governor,Collier,DEM,29089,44.4
2018,133,Lieutenant Governor,McKennon,LIB,1304,2.0
2018,133,U.S. Senate,Cruz,REP,34930,53.1
2018,133,U.S. Senate,O'Rourke,DEM,30329,46.1
2018,133,U.S. Senate,Dikeman,LIB,533,0.8
2018,134,Attorney General,Paxton,REP,31523,36.6
2018,134,Governor,Valdez,DEM,45388,52.5
2018,134,Governor,Abbott,REP,39112,45.3
2018,134,Governor,Tippetts,LIB,1925,2.2
2018,134,Lieutenant Governor,Collier,DEM,51809,60.0
2018,134,Lieutenant Governor,Patrick,REP,32789,37.9
2018,134,Lieutenant Governor,McKennon,LIB,1817,2.1
2018,134,U.S. Senate,O'Rourke,DEM,54514,62.4
2018,134,U.S. Senate,Cruz,REP,32114,36.8
2018,134,U.S. Senate,Dikeman,LIB,669,0.8
2018,135,Attorney General,Paxton,REP,16173,35.0
2018,135,Governor,Valdez,DEM,27501,59.4
2018,135,Governor,Abbott,REP,18147,39.2
2018,135,Governor,Tippetts,LIB,626,1.4
2018,135,Lieutenant Governor,Collier,DEM,28666,62.1
2018,135,Lieutenant Governor,Patrick,REP,16751,36.3
2018,135,Lieutenant Governor,McKennon,LIB,781,1.7
