year,district,office,candidate,party,votes,percentage
2018,33,U.S. Senate,O'Rourke,D,25486,39.2
2018,33,U.S. Senate,Dikeman,L,559,0.9
2018,33,Governor,Abbott,R,42478,65.5
2018,33,Governor,Valdez,D,21199,32.7
2018,33,Governor,Tippetts,L,1152,1.8
2018,33,Lieutenant Governor,Patrick,R,39020,60.4
2018,33,Lieutenant Governor,Collier,D,24105,37.3
2018,33,Lieutenant Governor,McKennon,L,1437,2.2
2018,33,Attorney General,Paxton,R,38277,59.4
2018,34,U.S. Senate,Cruz,R,17957,41.4
2018,34,U.S. Senate,O'Rourke,D,25122,57.9
2018,34,U.S. Senate,Dikeman,L,281,0.6
2018,34,Governor,Abbott,R,21271,49.1
2018,34,Governor,Valdez,D,21547,49.7
2018,34,Governor,Tippetts,L,510,1.2
2018,34,Lieutenant Governor,Patrick,R,17580,41.0
2018,34,Lieutenant Governor,Collier,D,24426,57.0
2018,34,Lieutenant Governor,McKennon,L,882,2.1
2018,34,Attorney General,Paxton,R,17473,40.7
2018,35,U.S. Senate,Cruz,R,7285,27.9
2018,35,U.S. Senate,O'Rourke,D,18614,71.4
2018,35,U.S. Senate,Dikeman,L,175,0.7
2018,35,Governor,Abbott,R,8795,34.0
2018,35,Governor,Valdez,D,16821,65.0
2018,35,Governor,Tippetts,L,263,1.0
2018,35,Lieutenant Governor,Patrick,R,7069,27.7
2018,35,Lieutenant Governor,Collier,D,17898,70.2
2018,35,Lieutenant Governor,McKennon,L,516,2.0
2018,35,Attorney General,Paxton,R,6645,26.1
2018,36,U.S. Senate,Cruz,R,8548,27.1
2018,36,U.S. Senate,O'Rourke,D,22812,72.3
2018,36,U.S. Senate,Dikeman,L,174,0.6
2018,36,Governor,Abbott,R,10272,32.7
2018,36,Governor,Valdez,D,20742,66.1
2018,36,Governor,Tippetts,L,364,1.2
2018,36,Lieutenant Governor,Patrick,R,8576,27.5
2018,36,Lieutenant Governor,Collier,D,21990,70.6
2018,36,Lieutenant Governor,McKennon,L,579,1.9
2018,36,Attorney General,Paxton,R,8217,26.4
2018,37,U.S. Senate,Cruz,R,18037,45.6
2018,37,U.S. Senate,O'Rourke,D,21267,53.8
2018,37,U.S. Senate,Dikeman,L,249,0.6
2018,37,Governor,Abbott,R,20826,53.0
2018,37,Governor,Valdez,D,17970,45.8
2018,37,Governor,Tippetts,L,478,1.2
2018,37,Lieutenant Governor,Patrick,R,17836,46.2
2018,37,Lieutenant Governor,Collier,D,19809,51.3
2018,37,Lieutenant Governor,McKennon,L,972,2.5
2018,37,Attorney General,Paxton,R,16890,43.7
2018,38,U.S. Senate,Cruz,R,8411,26.6
2018,38,U.S. Senate,O'Rourke,D,22893,72.5
2018,38,U.S. Senate,Dikeman,L,258,0.8
2018,38,Governor,Abbott,R,10936,34.8
2018,38,Governor,Valdez,D,19937,63.5
2018,38,Governor,Tippetts,L,545,1.7
2018,38,Lieutenant Governor,Patrick,R,8606,27.9
2018,38,Lieutenant Governor,Collier,D,21263,68.9
2018,38,Lieutenant Governor,McKennon,L,1014,3.3
2018,38,Attorney General,Paxton,R,7900,25.5
2018,39,U.S. Senate,Cruz,R,9580,30.0
2018,39,U.S. Senate,O'Rourke,D,22176,69.5
2018,39,U.S. Senate,Dikeman,L,173,0.5
2018,39,Governor,Abbott,R,11472,36.1
2018,39,Governor,Valdez,D,19944,62.8
2018,39,Governor,Tippetts,L,338,1.1
2018,39,Lieutenant Governor,Patrick,R,9515,30.3
2018,39,Lieutenant Governor,Collier,D,21295,67.8
2018,39,Lieutenant Governor,McKennon,L,610,1.9
2018,39,Attorney General,Paxton,R,9023,28.7
2018,40,U.S. Senate,Cruz,R,8835,28.4
2018,40,U.S. Senate,O'Rourke,D,22113,71.1
2018,40,U.S. Senate,Dikeman,L,167,0.5
2018,40,Governor,Abbott,R,10809,34.9
2018,40,Governor,Valdez,D,19834,64.0
2018,40,Governor,Tippetts,L,329,1.1
2018,40,Lieutenant Governor,Patrick,R,8682,28.3
2018,40,Lieutenant Governor,Collier,D,21393,69.7
2018,40,Lieutenant Governor,McKennon,L,601,2.0
2018,40,Attorney General,Paxton,R,8295,27.1
2018,41,U.S. Senate,Cruz,R,15910,37.7
2018,41,U.S. Senate,O'Rourke,D,26084,61.8
2018,41,U.S. Senate,Dikeman,L,229,0.5
2018,41,Governor,Abbott,R,18649,44.3
2018,41,Governor,Valdez,D,22935,54.5
2018,41,Governor,Tippetts,L,504,1.2
2018,41,Lieutenant Governor,Patrick,R,16115,38.6
2018,41,Lieutenant Governor,Collier,D,24772,59.3
2018,41,Lieutenant Governor,McKennon,L,865,2.1
2018,41,Attorney General,Paxton,R,15497,37.2
2018,42,U.S. Senate,Cruz,R,11258,29.7
2018,42,U.S. Senate,O'Rourke,D,26426,69.6
2018,42,U.S. Senate,Dikeman,L,281,0.7
2018,42,Governor,Abbott,R,13289,35.3
2018,42,Governor,Valdez,D,23927,63.5
2018,42,Governor,Tippetts,L,437,1.2
2018,42,Lieutenant Governor,Patrick,R,10776,29.0
2018,42,Lieutenant Governor,Collier,D,25495,68.6
2018,42,Lieutenant Governor,McKennon,L,900,2.4
2018,42,Attorney General,Paxton,R,9672,26.1
2018,43,U.S. Senate,Cruz,R,30112,57.3
2018,43,U.S. Senate,O'Rourke,D,22096,42.1
2018,43,U.S. Senate,Dikeman,L,335,0.6
2018,43,Governor,Abbott,R,33054,63.1
2018,43,Governor,Valdez,D,18726,35.8
2018,43,Governor,Tippetts,L,568,1.1
2018,43,Lieutenant Governor,Patrick,R,29118,56.4
2018,43,Lieutenant Governor,Collier,D,21500,41.7
2018,43,Lieutenant Governor,McKennon,L,981,1.9
2018,43,Attorney General,Paxton,R,28933,56.1
2018,44,U.S. Senate,Cruz,R,38112,63.3
2018,44,U.S. Senate,O'Rourke,D,21501,35.7
2018,44,U.S. Senate,Dikeman,L,585,1.0
2018,44,Governor,Abbott,R,40678,67.8
2018,44,Governor,Valdez,D,18435,30.7
2018,44,Governor,Tippetts,L,906,1.5
2018,44,Lieutenant Governor,Patrick,R,38331,64.2
2018,44,Lieutenant Governor,Collier,D,20034,33.5
2018,44,Lieutenant Governor,McKennon,L,1362,2.3
2018,44,Attorney General,Paxton,R,37231,62.5
2018,45,U.S. Senate,Cruz,R,22033,37.0
2018,45,U.S. Senate,O'Rourke,D,36955,62.0
2018,45,U.S. Senate,Dikeman,L,633,1.1
2018,45,Governor,Abbott,R,25572,43.0
2018,45,Governor,Valdez,D,32245,54.3
2018,45,Governor,Tippetts,L,1603,2.7
2018,45,Lieutenant Governor,Patrick,R,22821,38.7
2018,45,Lieutenant Governor,Collier,D,34172,57.9
2018,45,Lieutenant Governor,McKennon,L,2035,3.4
2018,45,Attorney General,Paxton,R,22023,37.4
2018,46,U.S. Senate,Cruz,R,12975,20.7
2018,46,U.S. Senate,O'Rourke,D,48940,78.2
2018,46,U.S. Senate,Dikeman,L,670,1.1
2018,46,Governor,Abbott,R,15669,25.2
2018,46,Governor,Valdez,D,44964,72.3
2018,46,Governor,Tippetts,L,1574,2.5
2018,46,Lieutenant Governor,Patrick,R,13482,21.7
2018,46,Lieutenant Governor,Collier,D,46649,75.2
2018,46,Lieutenant Governor,McKennon,L,1873,3.0
2018,46,Attorney General,Paxton,R,13011,21.0
2018,47,U.S. Senate,Cruz,R,32466,36.8
2018,47,U.S. Senate,O'Rourke,D,54806,62.1
2018,47,U.S. Senate,Dikeman,L,1024,1.2
2018,47,Governor,Abbott,R,38421,43.9
2018,47,Governor,Valdez,D,46852,53.5
2018,47,Governor,Tippetts,L,2324,2.7
2018,47,Lieutenant Governor,Patrick,R,33310,38.1
2018,47,Lieutenant Governor,Collier,D,51297,58.7
2018,47,Lieutenant Governor,McKennon,L,2745,3.1
2018,47,Attorney General,Paxton,R,32068,36.8
2018,48,U.S. Senate,Cruz,R,25450,26.9
2018,48,U.S. Senate,O'Rourke,D,68187,72.0
2018,48,U.S. Senate,Dikeman,L,1024,1.1
2018,48,Governor,Abbott,R,31622,33.8
2018,48,Governor,Valdez,D,59242,63.2
2018,48,Governor,Tippetts,L,2808,3.0
2018,48,Lieutenant Governor,Patrick,R,26245,28.1
2018,48,Lieutenant Governor,Collier,D,64033,68.5
2018,48,Lieutenant Governor,McKennon,L,3159,3.4
2018,48,Attorney General,Paxton,R,25245,27.1
2018,49,U.S. Senate,Cruz,R,13729,14.0
2018,49,U.S. Senate,O'Rourke,D,83334,85.0
2018,49,U.S. Senate,Dikeman,L,1016,1.0
2018,49,Governor,Abbott,R,19088,19.7
2018,49,Governor,Valdez,D,74703,77.3
2018,49,Governor,Tippetts,L,2897,3.0
2018,49,Lieutenant Governor,Patrick,R,15087,15.7
2018,49,Lieutenant Governor,Collier,D,77999,81.1
2018,49,Lieutenant Governor,McKennon,L,3141,3.3
