year,district,page,raw_row
2018,22,7,"['22', '29,779', '61.9 %', '553', '1.1 %', '17,818', '37.2 %', '29,196', '61.0 %', '873', '1.8 %', '18,168', '37.8 %', '29,001', '60.4 %', '867', '1.8 %', '17,465', '36.5 %', '29,872', '62.4 %']"
2018,23,7,"['23', '23,784', '40.5 %', '1,408', '2.4 %', '34,518', '59.2 %', '21,907', '37.5 %', '1,918', '3.3 %', '34,962', '59.6 %', '21,789', '37.1 %', '1,925', '3.3 %', '33,608', '57.5 %', '23,555', '40.3 %']"
2018,24,7,"['24', '23,115', '33.5 %', '1,675', '2.4 %', '45,976', '67.0 %', '20,417', '29.8 %', '2,214', '3.2 %', '45,867', '66.5 %', '20,699', '30.0 %', '2,363', '3.4 %', '44,403', '64.6 %', '22,767', '33.1 %']"
2018,25,7,"['25', '20,466', '38.9 %', '1,225', '2.3 %', '31,899', '61.0 %', '18,917', '36.1 %', '1,520', '2.9 %', '31,758', '60.5 %', '18,979', '36.2 %', '1,762', '3.4 %', '31,104', '59.4 %', '20,226', '38.6 %']"
2018,26,7,"['26', '24,460', '40.5 %', '1,324', '2.2 %', '36,909', '61.3 %', '21,771', '36.1 %', '1,547', '2.6 %', '36,589', '60.6 %', '22,128', '36.7 %', '1,630', '2.7 %', '34,935', '58.0 %', '24,153', '40.1 %']"
2018,27,7,"['27', '46,094', '72.1 %', '1,201', '1.9 %', '17,677', '27.8 %', '44,312', '69.6 %', '1,641', '2.6 %', '18,236', '28.6 %', '44,176', '69.3 %', '1,290', '2.0 %', '16,515', '26.0 %', '46,187', '72.6 %']"
2018,28,7,"['28', '24,835', '41.9 %', '1,136', '1.9 %', '35,216', '59.6 %', '22,374', '37.9 %', '1,448', '2.5 %', '34,999', '59.2 %', '22,628', '38.3 %', '1,497', '2.5 %', '33,435', '56.7 %', '24,614', '41.7 %']"
2018,29,7,"['29', '23,564', '40.3 %', '1,324', '2.3 %', '34,864', '60.0 %', '21,581', '37.1 %', '1,698', '2.9 %', '34,752', '59.6 %', '21,632', '37.1 %', '1,934', '3.3 %', '33,511', '57.6 %', '23,518', '40.4 %']"
2018,30,7,"['30', '15,060', '25.6 %', '1,015', '1.7 %', '44,307', '75.6 %', '13,050', '22.3 %', '1,260', '2.1 %', '43,750', '74.4 %', '13,267', '22.6 %', '1,782', '3.0 %', '42,729', '73.1 %', '14,735', '25.2 %']"
2018,31,7,"['31', '21,178', '46.0 %', '1,027', '2.2 %', '24,042', '52.8 %', '19,772', '43.4 %', '1,723', '3.8 %', '24,757', '53.7 %', '19,707', '42.7 %', '1,676', '3.6 %', '23,581', '51.6 %', '20,910', '45.7 %']"
2018,32,7,"['32', '23,281', '39.4 %', '1,588', '2.7 %', '35,471', '60.7 %', '20,669', '35.4 %', '2,304', '3.9 %', '36,530', '62.0 %', '20,214', '34.3 %', '2,198', '3.7 %', '33,713', '57.7 %', '23,247', '39.8 %']"
